Date	Time	Cause	IP	Name	User agent	Request method	Request URI	Comment
2011-10-04	23:27:52	Flooding	201.144.51.36	static.customer-201-144-51-36.uninet-ide.com.mx	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.187 Safari/535.1	GET	/index.php?option=com_contushdvideoshare&view=impressionclicks&click=impression&id=1	10 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/component/contushdvideoshare/player/14/4.html	10 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/6.0 (compatible)	GET	/component/contushdvideoshare/player/19/4.html	11 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/component/contushdvideoshare/player/11/4.html	12 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/component/contushdvideoshare/player/18/4.html	13 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.91 Safari/534.30	GET	/component/contushdvideoshare/featuredvideos.html	14 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.91 Safari/534.30	GET	/105-ciudad/sonora-centro.html	15 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.91 Safari/534.30	GET	/105-ciudad/sonora-centro/553-apoyara-ayuntamiento-a-desalojados-de-guayacan-que-tengan-necesidad.html	16 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/105-ciudad/sonora-centro/556-revisaran-salidas-de-emergencia-en-casinos-de-hermosillo.html	17 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:17	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/5.0 (compatible)	GET	/105-ciudad/sonora-centro/560-sin-luz-escuelas-del-fovissste.html	18 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:25	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/5.0 (compatible)	GET	/105-ciudad/sonora-centro/559-desalojan-a-decenas-de-familias-de-la-guayacan.html	19 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:25	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/6.0 (compatible)	GET	/hermosillo/77-urge-pinera-a-convertir-a-mexico-y-a-chile-en-potencias.html	20 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:25	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/6.0 (compatible)	GET	/hermosillo/78-anuncian-empresarios-chilenos-inversiones-en-mexico.html	21 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:25	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/hermosillo/76-mexico-cae-1-0-ante-peru.html	22 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:25	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/6.0 (compatible)	GET	/hermosillo/75-rescata-marina-a-ex-alcalde-de-reynosa-secuestrado.html	23 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:25	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/hermosillo/73-llega-el-sexto-aumento-de-2011-a-gasolinas.html	24 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:25	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/5.0 (compatible)	GET	/hermosillo/74-politica-de-gasolinas-suaviza-volatilidad-global-banxico.html	25 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:26	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/hermosillo/72-aplican-el-septimo-aumento-del-ano-a-gasolinas.html	26 requests in less than 10 seconds (max = 10)
2011-10-05	10:28:26	Flooding	82.80.249.249	bzq-82-80-249-249.static.dcenter.bezeqint.net	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)	GET	/hermosillo/71-se-convierte-qcalvinq-en-huracan-categoria-1.html	27 requests in less than 10 seconds (max = 10)
